API,proddate,M_OIL_BBL,M_GAS_MCF,M_WATER_BBL
4210932294,2008-09-01,52.0,15134.0,2068.0
4210932294,2008-10-01,52.0,15134.0,2068.0
4210932294,2008-11-01,3.0,14351.0,1961.0
4210932294,2008-12-01,17.0,8195.0,1120.0
4210932294,2009-01-01,36.0,9949.0,1360.0
4210932294,2009-02-01,7.0,4183.0,572.0
4210932294,2009-03-01,6.0,5284.0,722.0
4210932294,2009-04-01,0.0,5748.0,786.0
4210932294,2009-05-01,0.0,4139.0,0.0
4210932294,2009-06-01,0.0,3482.0,0.0
4210932294,2009-07-01,0.0,4174.0,0.0
4210932294,2009-08-01,0.0,3290.0,0.0
4210932294,2009-09-01,0.0,2951.0,0.0
4210932294,2010-02-01,,18065.0,
4210932294,2010-03-01,,22371.0,18524.0
4210932294,2010-04-01,,12741.0,10550.0
4210932294,2010-05-01,,4458.0,3691.0
4210932294,2010-06-01,,17534.0,14519.0
4210932294,2010-07-01,,10130.0,8388.0
4210932294,2010-08-01,,4293.0,3555.0
4210932294,2010-09-01,1.0,1948.0,1613.0
4210932294,2010-10-01,0.0,6008.0,4975.0
4210932294,2010-11-01,0.0,4521.0,3743.0
4210932294,2010-12-01,0.0,5003.0,4143.0
4210932294,2011-01-01,,8442.0,6990.0
4210932294,2011-02-01,,6143.0,5087.0
4210932294,2011-03-01,,7371.0,6103.0
4210932294,2011-04-01,,7278.0,6026.0
4210932294,2011-05-01,,7187.0,6208.0
4210932294,2011-06-01,,6783.0,5859.0
4210932294,2011-07-01,,6921.0,5978.0
4210932294,2011-08-01,,5706.0,4929.0
4210932294,2011-09-01,,840.0,726.0
4210932339,2010-10-02,4679.0,76663.0,
4210932339,2010-11-01,4679.0,76663.0,
4210932339,2010-12-01,2744.0,55486.0,
4210932339,2011-01-01,2029.0,39846.0,6649.0
4210932339,2011-02-01,892.0,17724.0,2958.0
4210932339,2011-03-01,1644.0,32224.0,5377.0
4210932339,2011-04-01,1253.0,23656.0,3947.0
4210932339,2011-05-01,1066.0,18247.0,3045.0
4210932339,2011-06-01,1127.0,20653.0,3446.0
4210932339,2011-07-01,949.0,16145.0,2694.0
4210932339,2011-08-01,992.0,16651.0,2779.0
4210932339,2011-09-01,627.0,10395.0,1735.0
4210932339,2011-10-01,914.0,15378.0,2566.0
4210932339,2011-11-01,927.0,14929.0,3527.0
4210932339,2011-12-01,973.0,14688.0,3470.0
4210932339,2012-01-01,596.0,9578.0,2263.0
4210932339,2012-02-01,799.0,12084.0,2855.0
4210932339,2012-03-01,320.0,5106.0,1206.0
4210932339,2012-04-01,647.0,10089.0,1128.0
4210932339,2012-05-01,802.0,13826.0,1546.0
4210932339,2012-06-01,742.0,16466.0,1841.0
4210932339,2012-07-01,903.0,23042.0,2577.0
4210932339,2012-08-01,923.0,22474.0,2513.0
4210932339,2012-09-01,493.0,16298.0,1822.0
4210932339,2012-10-01,410.0,14545.0,699.0
4210932339,2012-11-01,346.0,9444.0,454.0
4210932339,2012-12-01,1.0,867.0,42.0
4210932339,2013-01-01,22.0,86.0,4.0
4210932339,2013-02-01,8.0,5373.0,258.0
4210932339,2013-03-01,185.0,469.0,23.0
4210932339,2013-04-01,251.0,6566.0,1892.0
