API,M_OIL_BBL,M_GAS_MCF,M_WATER_BBL,M_BOE6_BBL
4200000000,114553.0,2215781.0,547738.0,483849.8333333333
4210932339,52186.0,1095508.0,123486.0,234767.66666666666
4210932344,27734.0,1300762.0,177316.0,244527.66666666666
4210932345,28451.0,2034409.0,341595.0,367519.1666666667
4210932346,19038.0,1909938.0,174035.0,337361.0
4210932351,13135.0,1141220.0,85697.0,203307.0
4210932352,253029.0,3418213.0,514785.0,822731.1666666666
4210932353,113775.0,1918717.0,741176.0,433561.1666666667
4210932356,273801.0,2981025.0,849886.0,770638.5
4210932372,140351.0,1972704.0,1195291.0,469135.0
4210932373,161531.0,1814623.0,601848.0,463968.1666666667
4210932377,161456.0,2456142.0,318262.0,570812.3333333334
4210932383,12811.0,812070.0,21442.0,146398.0
4210932391,67818.0,1845693.0,360495.0,375433.5
4210932398,40036.0,2261523.0,265437.0,416956.5
4210932399,184848.0,2529919.0,619182.0,606501.1666666666
4210932401,49623.0,2254580.0,468698.0,425382.8333333333
4210932405,155809.0,2586287.0,1133278.0,586084.8333333334
4210932428,96434.0,1616106.0,187878.0,365777.0
4210932429,175277.0,1842683.0,284864.0,482390.8333333333
4210932436,59424.0,1273935.0,287529.0,271746.5
4210932437,157916.0,2966615.0,243995.0,652273.8333333334
4210932440,147809.0,3180588.0,256639.0,677907.0
4210932455,40729.0,2785533.0,584959.0,504984.5
4210932456,249177.0,2652799.0,96974.0,691310.1666666666
4210932459,214623.0,2238506.0,442479.0,587707.3333333334
4210932461,200191.0,3031217.0,552984.0,701895.8333333334
4210932465,181435.0,2327252.0,664308.0,569262.3333333334
4210932466,44735.0,580153.0,33474.0,140026.16666666666
4210932469,123194.0,1784277.0,288027.0,418719.5
4210932470,127569.0,2461509.0,158179.0,537820.5
4210932471,287595.0,4464104.0,1150111.0,1031612.3333333334
4210932472,216016.0,3671321.0,124261.0,827902.8333333334
4210932473,146949.0,1816172.0,698800.0,449644.3333333333
4210932478,37540.0,591189.0,74917.0,136067.3333333333
4210932479,109050.0,675709.0,389455.0,221668.16666666666
4210932480,157949.0,656549.0,844153.0,267373.8333333333
4210932484,169441.0,2180802.0,710668.0,532908.0
4210932489,188222.0,2167231.0,133415.0,549427.1666666666
4210932499,184113.0,2404235.0,424158.0,584818.8333333334
4210932500,292015.0,3006868.0,144986.0,793159.6666666667
4210932505,113982.0,1675881.0,752521.0,393293.5
4210932506,145180.0,1161852.0,1235565.0,336848.8333333333
4210932507,118158.0,1358681.0,397680.0,344556.8333333333
4210932508,106314.0,1959712.0,487987.0,432932.6666666667
4210932509,147554.0,2976103.0,377706.0,643571.1666666666
4210932510,146671.0,1653125.0,115287.0,422071.8333333333
4210932511,71900.0,1896038.0,249390.0,387906.3333333333
4210932513,168068.0,1928217.0,58691.0,489437.5
4210932515,84685.0,1163142.0,338886.0,278208.0
4210932516,110377.0,1216755.0,200581.0,313035.5
4210932517,158246.0,2179125.0,174158.0,521433.5
4210932519,178066.0,2386306.0,747737.0,575783.6666666666
4210932522,220183.0,2857586.0,725364.0,696447.3333333334
4210932523,326363.0,3348122.0,316241.0,884383.3333333334
4210932524,87508.0,710894.0,486605.0,205644.33333333334
4210932525,304118.0,3739340.0,316091.0,927341.3333333334
4210932526,203694.0,2454854.0,706937.0,612836.3333333334
4210932528,131153.0,1429788.0,247468.0,369451.0
4210932529,219710.0,4523426.0,668710.0,973614.3333333334
4210932530,154774.0,2325239.0,370140.0,542313.8333333334
4210932531,181985.0,3073589.0,884758.0,694249.8333333334
4210932534,126781.0,842072.0,404992.0,267126.3333333333
4210932537,198466.0,2133758.0,439278.0,554092.3333333334
4210932538,149407.0,2387912.0,891766.0,545898.3333333334
4210932540,153704.0,1722717.0,157723.0,440823.5
4210932541,150589.0,1669423.0,262190.0,428826.1666666667
4210932542,118767.0,1309666.0,348271.0,337044.6666666667
4210932543,141559.0,1159778.0,889870.0,334855.3333333333
4210932544,121826.0,1676086.0,170458.0,401173.6666666667
4210932545,132426.0,2024943.0,146060.0,469344.5
4210932546,171402.0,2257708.0,847625.0,545301.1666666666
4210932547,152930.0,2195592.0,752875.0,516472.0
4210932548,368256.0,2483119.0,941862.0,778139.1666666666
4210932549,357484.0,2644931.0,1312295.0,798305.8333333334
4210932560,136630.0,1942269.0,274648.0,459879.5
4210932561,116689.0,1129238.0,405332.0,304895.3333333333
4210932564,352392.0,3575200.0,202725.0,948258.6666666666
4210932566,133012.0,1738131.0,187770.0,421708.5
4210932570,137864.0,1435158.0,163717.0,377057.0
4210932572,170027.0,2935788.0,726073.0,659319.0
4210932573,286088.0,2483542.0,1002032.0,700011.6666666666
4210932577,24152.0,581318.0,351042.0,121038.33333333333
4210932579,131816.0,655610.0,530695.0,241084.33333333334
4210932581,354300.0,6601084.0,1139335.0,1454480.6666666667
4210932583,139197.0,725996.0,480303.0,260178.33333333334
4210932584,139484.0,1447102.0,341384.0,378279.6666666667
4210932585,8087.0,2380520.0,1139122.0,404840.3333333333
4210932586,24911.0,1701789.0,670122.0,304475.3333333333
4210932590,318631.0,4031960.0,1538168.0,990421.5
4210932592,214760.0,2576657.0,311994.0,644202.8333333334
4210932593,193437.0,1892454.0,307977.0,508846.0
4210932604,84281.0,1447358.0,369343.0,325507.3333333333
4210932605,121717.0,2006665.0,337932.0,456161.1666666667
